DateTime,Loss
2019-02-19 00:15:26.806608,14.749939754014804
2019-02-19 00:25:11.013399,14.963576656955105
2019-02-19 00:44:56.766615,16.611428765428094
2019-02-19 01:24:59.292228,16.74131549043811
2019-02-19 02:44:58.283402,14.949115730943658
2019-02-19 04:24:58.340843,15.478382079473464
2019-02-19 06:04:57.726081,15.139115837070491
2019-02-19 07:44:59.144882,16.94910876845424
2019-02-19 09:25:04.554593,16.73579721072893
2019-02-19 11:05:01.977080,15.507020701339473
2019-02-19 12:44:58.315466,14.555676642553511
